"ROOT_LETTER_TEXT","KALIMAH_TEXT"
"غ ى ب","ٱلْغُيُوبِ"
"غ ى ب","غَائِبَةٍ"
"غ ى ب","غَائِبِينَ"
"غ ى ب","غَيابَةِ"
"غ ى ث","يُغَاثُ"
"غ ى ث","يُغَاثُوا"
"غ ى ث","يَسْتَغِيثُوا"
"غ ى ث","ٱلْغَيْث"
"غ ى ر","يُغَيِّرُ"
"غ ى ر","فَلَيُغَيِّرُنَّ"
"غ ى ر","يُغَيِّرُوا"
"غ ى ر","يَتَغَيَّرَ"
"غ ى ر","مُغَيِّرًا"
"غ ى ر","فَٱلْمُغِيرَاتِ"
"غ ى ر","غَيْر"
"غ ى ر","غَيْركُمْ"
"غ ى ر","غَيْره"
"غ ى ر","غَيْرَهَا"
"غ ى ر","غَيْرِى"
"غ ى ض","تَغِيضُ"
"غ ى ض","غِيضَ"
"غ ى ظ","يَغِيظ"
"غ ى ظ","ٱلْغَيْظ"
"غ ى ظ","بِغَيْظِكُمْ"
"غ ى ظ","بِغَيْظِهِمْ"
"غ ى ظ","لَغَائِظُونَ"
"غ ى ظ","تَغَيُّظًا"
